ew,Type,Nation1,Nation2,Nation3 ,Nation4,Nation5,Nation6,Nation7,Nation8,Nation9,Nation10,Nation11,Nation12,,Band1,Band2,Band3,Band4,,,,Place,State,Date,DemallieDeloria,URL,Comments
V0056,Operable,Potawatomi,,,,,,,,,,,,,,,,,,,,"Portage des Sioux, near St Louis",MO,07-18-1815,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/pot0110.htm,
V0057,Operable,Piankeshaw,,,,,,,,,,,,,,,,,,,,"Portage des Sioux, near St Louis",MO,07-18-1815,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/pia0111.htm,
V0058,Operable,Teton Sioux,,,,,,,,,,,,,,,,,,,,"Portage des Sioux, near St Louis",MO,07-19-1815,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/tet0112.htm,
V0059,Operable,Sioux of the Lakes,,,,,,,,,,,,,,,,,,,,"Portage des Sioux, near St Louis",MO,07-19-1815,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/sio0113.htm,
V0060,Operable,Sioux of the St. Peter's River,,,,,,,,,,,,,,,,,,,,"Portage des Sioux, near St Louis",MO,07-19-1815,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/sio0114.htm,
V0061,Operable,Yankton Sioux,,,,,,,,,,,,,,,,,,,,"Portage des Sioux, near St Louis",MO,07-19-1815,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/yan0115.htm,
V0062,Operable,Omaha,,,,,,,,,,,,,,,,,,,,"Portage des Sioux, near St Louis",MO,07-20-1815,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/mak0115.htm,
V0063,Operable,Kickapoo,,,,,,,,,,,,,,,,,,,,"Portage des Sioux, near St Louis",MO,09-02-1815,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/kic0116.htm,
V0064,Operable,Wyandot,Delaware,Seneca,Miami,Shawnee,Chippewa,Potawatomi,,,,,,,,,,,,,,"Spring Wells, near Detroit",MI,09-08-1815,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/wya0117.htm,
V0065,Operable,Osage,,,,,,,,,,,,,,,,,,,,"Portage des Sioux, near St Louis",MO,09-12-1815,186,http://digital.library.okstate.edu/kappler/Vol2/treaties/osa0119.htm,
